strategy_total_return,buy_hold_total_return,excess_total_return,strategy_sharpe,buy_hold_sharpe,strategy_max_dd,buy_hold_max_dd
-0.19371683496561376,0.25472136973133175,-0.4484382046969455,-2.2764498745478314,2.5981613056896737,-0.22331218927375307,-0.06952946009984684
-0.22119098739126464,0.3227380958153001,-0.5439290832065647,-2.3010330892723867,2.800284260535012,-0.23776576362067225,-0.083776589273869
-0.23111400259702541,0.3630554092052667,-0.5941694118022921,-2.2727319512463224,2.9331731968074144,-0.2640044424145661,-0.08469870247895639
-0.25589867330661964,0.6238924971784019,-0.8797911704850215,-2.356660179486465,4.273389589201212,-0.25895398295005023,-0.07485154405502736
-0.19984285271544155,0.13416117349979007,-0.3340040262152316,-2.756051297970331,1.6692071782902305,-0.24227166813299783,-0.10145676917909852
-0.26383942893684775,0.540041938229606,-0.8038813671664538,-2.8786300402379528,4.40502409385784,-0.29361871314972265,-0.08545633764313765
-0.1355621391287477,0.03842945057916758,-0.17399158970791528,-1.270229513295137,0.4516703667689214,-0.1684344213733059,-0.12241896668814356
-0.26394806398831017,0.4820679010000064,-0.7460159649883166,-4.457810445855018,6.140177809703838,-0.2602235932684035,-0.024060843618332384
-0.20477017911363515,0.08398475149984463,-0.2887549306134798,-2.2213815877217105,0.9056186048417745,-0.22017829172062975,-0.1384313942962443
-0.2927545019636656,0.6097357691163285,-0.9024902710799941,-3.2497802938548217,4.83606026754955,-0.2985894043083497,-0.04826507666512714
-0.2066259024287952,0.15195986348489687,-0.35858576591369207,-2.5590990864594065,1.6910896575649355,-0.2576359078456196,-0.10145676917909885
-0.20817374593428417,0.34093654286975594,-0.5491102888040401,-2.4113046206231346,3.2657046730287913,-0.24134573661474967,-0.0561069693147892
-0.19849951708664104,0.22415145445874662,-0.42265097154538767,-2.1268117752318436,2.1281697039318006,-0.21053653835931652,-0.11713288787255394
-0.1873512479176329,0.1655623315887591,-0.352913579506392,-2.1059595487346066,1.71208781177125,-0.1931297302594971,-0.13479976084067014
-0.14449692775147882,-0.026723325919683072,-0.11777360183179575,-1.6266209310109454,-0.2126791112879655,-0.1650278966590032,-0.10911623191533881
-0.1888666510590341,0.387706284962301,-0.5765729360213351,-2.5694560907404855,4.334351974927035,-0.21401529846286305,-0.07485154405502747
-0.23663938083670355,0.22175896683685004,-0.4583983476735536,-2.2714895047775565,1.8735720782520968,-0.2333674983258609,-0.09380570868628235
-0.2671702661754316,0.7767040035317629,-1.0438742697071945,-3.4798643881984095,7.182860496220047,-0.2941996337551016,-0.029332867774961136
-0.1680340723571362,0.08369049646644777,-0.25172456882358396,-1.7303578072595458,0.8866849622119549,-0.23340984272944887,-0.07485154405502725
-0.2840129023783281,0.7490098567926102,-1.0330227591709384,-2.601769391269389,4.81775196234557,-0.2927232104422751,-0.05183404441810735
-0.20389023633987535,0.4013633312982816,-0.605253567638157,-2.213119182491029,3.581098277908351,-0.2051586552474972,-0.05724710943794431
-0.20967638500930785,0.5671145045243469,-0.7767908895336547,-2.2335137779055856,4.69858217356456,-0.27273291160732405,-0.06696661490246691
-0.16173631852143966,0.13251139809230095,-0.2942477166137406,-2.6889016091851596,2.0061995387917153,-0.2072580183356637,-0.07485154405502759
-0.2631935826812205,0.5307345209579399,-0.7939281036391604,-3.0536154101574224,4.585200355386427,-0.2512733946986131,-0.05916345900568387
-0.2674629123240818,0.18864794435519294,-0.45611085667927476,-2.640916754255062,1.6254563531831117,-0.2992205752454208,-0.15618683466405014
